age_group,date,state,onsets,reported
0-14,2020-02-19,14,0.0,0.0
0-14,2020-02-22,14,0.0,0.0
0-14,2020-02-23,14,0.0,0.0
0-14,2020-02-25,14,0.0,0.0
0-14,2020-02-26,14,0.0,0.0
0-14,2020-02-27,14,0.0,0.0
0-14,2020-02-28,14,0.0,0.0
0-14,2020-02-29,14,0.0,0.0
0-14,2020-03-01,14,0.0,0.0
0-14,2020-03-02,14,0.0,0.0
0-14,2020-03-03,14,0.0,0.0
0-14,2020-03-04,14,0.0,0.0
0-14,2020-03-05,14,0.0,0.0
0-14,2020-03-06,14,0.0,0.0
0-14,2020-03-07,14,0.0,0.0
0-14,2020-03-08,14,0.0,0.0
0-14,2020-03-09,14,0.0,0.0
0-14,2020-03-10,14,0.0,0.0
0-14,2020-03-11,14,0.0,0.0
0-14,2020-03-12,14,0.0,0.0
0-14,2020-03-13,14,0.0,0.0
0-14,2020-03-14,14,0.0,0.0
0-14,2020-03-15,14,0.0,0.0
0-14,2020-03-16,14,0.0,0.0
0-14,2020-03-17,14,0.0,0.0
0-14,2020-03-18,14,0.0,0.0
0-14,2020-03-19,14,0.0,0.0
0-14,2020-03-20,14,0.0,0.0
0-14,2020-03-21,14,0.0,0.0
0-14,2020-03-22,14,1.0,0.0
0-14,2020-03-23,14,0.0,0.0
0-14,2020-03-24,14,0.0,0.0
0-14,2020-03-25,14,0.0,1.0
0-14,2020-03-26,14,0.0,0.0
0-14,2020-03-27,14,0.0,0.0
0-14,2020-03-28,14,0.0,0.0
0-14,2020-03-29,14,0.0,0.0
0-14,2020-03-30,14,0.0,0.0
0-14,2020-03-31,14,0.0,0.0
0-14,2020-04-01,14,0.0,0.0
0-14,2020-04-02,14,0.0,0.0
0-14,2020-04-03,14,0.0,0.0
0-14,2020-04-04,14,0.0,0.0
0-14,2020-04-05,14,0.0,0.0
0-14,2020-04-06,14,0.0,0.0
0-14,2020-04-07,14,0.0,0.0
0-14,2020-04-08,14,0.0,0.0
0-14,2020-04-09,14,0.0,0.0
0-14,2020-04-10,14,0.0,0.0
0-14,2020-04-11,14,0.0,0.0
0-14,2020-04-12,14,1.0,0.0
0-14,2020-04-13,14,0.0,1.0
0-14,2020-04-14,14,1.0,0.0
0-14,2020-04-15,14,0.0,0.0
0-14,2020-04-16,14,0.0,0.0
0-14,2020-04-17,14,0.0,1.0
0-14,2020-04-18,14,0.0,0.0
0-14,2020-04-19,14,0.0,0.0
0-14,2020-04-20,14,1.0,0.0
0-14,2020-04-21,14,0.0,0.0
0-14,2020-04-22,14,0.0,0.0
0-14,2020-04-23,14,0.0,1.0
0-14,2020-04-24,14,0.0,0.0
0-14,2020-04-25,14,0.0,0.0
0-14,2020-04-26,14,0.0,0.0
0-14,2020-04-27,14,0.0,0.0
0-14,2020-04-28,14,0.0,0.0
0-14,2020-04-29,14,0.0,0.0
0-14,2020-04-30,14,0.0,0.0
0-14,2020-05-01,14,0.0,0.0
0-14,2020-05-02,14,2.0,1.0
0-14,2020-05-03,14,0.0,0.0
0-14,2020-05-04,14,3.0,0.0
0-14,2020-05-05,14,0.0,0.0
0-14,2020-05-06,14,1.0,2.0
0-14,2020-05-07,14,0.0,3.0
0-14,2020-05-08,14,1.0,0.0
0-14,2020-05-09,14,2.0,1.0
0-14,2020-05-10,14,3.0,1.0
0-14,2020-05-11,14,3.0,2.0
0-14,2020-05-12,14,1.0,0.0
0-14,2020-05-13,14,3.0,2.0
0-14,2020-05-14,14,6.0,7.0
0-14,2020-05-15,14,0.0,5.0
0-14,2020-05-16,14,1.0,1.0
0-14,2020-05-17,14,0.0,0.0
0-14,2020-05-18,14,0.0,1.0
0-14,2020-05-19,14,0.0,0.0
0-14,2020-05-20,14,4.0,0.0
0-14,2020-05-21,14,3.0,2.0
0-14,2020-05-22,14,4.0,3.0
0-14,2020-05-23,14,1.0,2.0
0-14,2020-05-24,14,4.0,0.0
0-14,2020-05-25,14,1.0,4.0
0-14,2020-05-26,14,3.0,4.0
0-14,2020-05-27,14,6.0,4.0
0-14,2020-05-28,14,1.0,4.0
0-14,2020-05-29,14,4.0,1.0
0-14,2020-05-30,14,4.0,6.0
0-14,2020-05-31,14,2.0,1.0
0-14,2020-06-01,14,5.0,1.0
0-14,2020-06-02,14,6.0,7.0
0-14,2020-06-03,14,3.0,1.0
0-14,2020-06-04,14,1.0,5.0
0-14,2020-06-05,14,4.0,8.0
0-14,2020-06-06,14,4.0,0.0
0-14,2020-06-07,14,0.0,1.0
0-14,2020-06-08,14,0.0,2.0
0-14,2020-06-09,14,2.0,3.0
0-14,2020-06-10,14,1.0,2.0
0-14,2020-06-11,14,2.0,2.0
0-14,2020-06-12,14,1.0,0.0
0-14,2020-06-13,14,1.0,1.0
0-14,2020-06-14,14,1.0,0.0
0-14,2020-06-15,14,4.0,1.0
0-14,2020-06-16,14,0.0,2.0
0-14,2020-06-17,14,2.0,4.0
0-14,2020-06-18,14,1.0,2.0
0-14,2020-06-19,14,1.0,0.0
0-14,2020-06-20,14,3.0,1.0
0-14,2020-06-21,14,1.0,0.0
0-14,2020-06-22,14,3.0,1.0
0-14,2020-06-23,14,1.0,4.0
0-14,2020-06-24,14,0.0,1.0
0-14,2020-06-25,14,2.0,1.0
0-14,2020-06-26,14,1.0,2.0
0-14,2020-06-27,14,1.0,1.0
0-14,2020-06-28,14,2.0,2.0
0-14,2020-06-29,14,2.0,2.0
0-14,2020-06-30,14,4.0,3.0
0-14,2020-07-01,14,1.0,1.0
0-14,2020-07-02,14,2.0,1.0
0-14,2020-07-03,14,2.0,3.0
0-14,2020-07-04,14,0.0,2.0
0-14,2020-07-05,14,1.0,1.0
0-14,2020-07-06,14,3.0,1.0
0-14,2020-07-07,14,1.0,0.0
0-14,2020-07-08,14,3.0,3.0
0-14,2020-07-09,14,2.0,4.0
0-14,2020-07-10,14,0.0,1.0
0-14,2020-07-11,14,1.0,0.0
0-14,2020-07-12,14,2.0,1.0
0-14,2020-07-13,14,2.0,1.0
0-14,2020-07-14,14,2.0,3.0
0-14,2020-07-15,14,1.0,1.0
0-14,2020-07-16,14,5.0,3.0
0-14,2020-07-17,14,2.0,5.0
0-14,2020-07-18,14,1.0,0.0
0-14,2020-07-19,14,2.0,2.0
0-14,2020-07-20,14,3.0,1.0
0-14,2020-07-21,14,0.0,1.0
0-14,2020-07-22,14,1.0,0.0
0-14,2020-07-23,14,1.0,1.0
0-14,2020-07-24,14,3.0,2.0
0-14,2020-07-25,14,0.0,1.0
0-14,2020-07-26,14,2.0,1.0
0-14,2020-07-27,14,2.0,5.0
0-14,2020-07-28,14,1.0,3.0
0-14,2020-07-29,14,2.0,2.0
0-14,2020-07-30,14,0.0,1.0
0-14,2020-07-31,14,4.0,3.0
0-14,2020-08-01,14,1.0,2.0
0-14,2020-08-02,14,3.0,0.0
0-14,2020-08-03,14,4.0,2.0
0-14,2020-08-04,14,1.0,0.0
0-14,2020-08-05,14,5.0,5.0
